"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"DIT","AMCON Distributing Company","84.97","51203091.94","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"APP","American Apparel Inc","0.9061","157807975.2665","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/app",
"ADGE","American DG Energy Inc.","1.15","60637285.1","n/a","n/a","Energy","Electric Utilities: Central","http://www.nasdaq.com/symbol/adge",
"AMZG","American Eagle Energy Corporation.","4.84","147369215.4","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/amzg",
"ALN","American Lorain Corporation","1.25","43270892.5","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","2.15","11311945.5","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"AQQ","American Spectrum Realty, Inc.","1.68","6262872","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aqq",
"AMPE","Ampio Pharmaceuticals, Inc.","3.76","195415720.16","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.2936","14643247.7392","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"AMCO","Armco Metals Holdings, Inc.","0.1633","9033551.0585","n/a","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco",
"HRT","Arrhythmia Research Technology Inc.","6.88","18863852.32","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"AKG","Asanko Gold Inc.","2.23","386273368.11","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"ATL","Atlatsa Resources Corporation","0.325","180143753.725","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/atl",
"AZC","Augusta Resource Corporation","3.42","518038460.28","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/azc",
"AWX","Avalon Holdings Corporation","3.71","14110358.01","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AVL","Avalon Rare Metals, Inc.","0.3912","49425649.9632","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/avl",
"ASM","Avino Silver","1.84","60044898.48","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"BTG","B2Gold Corp","2.12","1442069001.24","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
